"","name","platform","year_of_release","genre","publisher","na_sales","eu_sales","jp_sales","other_sales","global_sales","critic_count","user_count","developer","rating","critic_or_user","score"
"1","Mario Kart Wii","Nintendo",2008,"Racing","Nintendo",15.68,12.76,3.79,3.29,35.52,73,709,"Nintendo","All ages","critic_score",82
"2","Mario Kart Wii","Nintendo",2008,"Racing","Nintendo",15.68,12.76,3.79,3.29,35.52,73,709,"Nintendo","All ages","user_score",83
"3","Wii Sports Resort","Nintendo",2009,"Sports","Nintendo",15.61,10.93,3.28,2.95,32.77,73,192,"Nintendo","All ages","critic_score",80
"4","Wii Sports Resort","Nintendo",2009,"Sports","Nintendo",15.61,10.93,3.28,2.95,32.77,73,192,"Nintendo","All ages","user_score",80
"5","New Super Mario Bros.","Nintendo",2006,"Platform","Nintendo",11.28,9.14,6.5,2.88,29.8,65,431,"Nintendo","All ages","critic_score",89
"6","New Super Mario Bros.","Nintendo",2006,"Platform","Nintendo",11.28,9.14,6.5,2.88,29.8,65,431,"Nintendo","All ages","user_score",85
"7","Wii Play","Nintendo",2006,"Misc","Nintendo",13.96,9.18,2.93,2.84,28.92,41,129,"Nintendo","All ages","critic_score",58
"8","Wii Play","Nintendo",2006,"Misc","Nintendo",13.96,9.18,2.93,2.84,28.92,41,129,"Nintendo","All ages","user_score",66
"9","New Super Mario Bros. Wii","Nintendo",2009,"Platform","Nintendo",14.44,6.94,4.7,2.24,28.32,80,594,"Nintendo","All ages","critic_score",87
"10","New Super Mario Bros. Wii","Nintendo",2009,"Platform","Nintendo",14.44,6.94,4.7,2.24,28.32,80,594,"Nintendo","All ages","user_score",84
"11","Mario Kart DS","Nintendo",2005,"Racing","Nintendo",9.71,7.47,4.13,1.9,23.21,64,464,"Nintendo","All ages","critic_score",91
"12","Mario Kart DS","Nintendo",2005,"Racing","Nintendo",9.71,7.47,4.13,1.9,23.21,64,464,"Nintendo","All ages","user_score",86
"13","Wii Fit","Nintendo",2007,"Sports","Nintendo",8.92,8.03,3.6,2.15,22.7,63,146,"Nintendo","All ages","critic_score",80
