"","name","platform","year_of_release","genre","publisher","na_sales","eu_sales","jp_sales","other_sales","global_sales","developer","rating"
"1","Wii Sports","Nintendo",2006,"Sports","Nintendo",41.36,28.96,3.77,8.45,82.53,"Nintendo","E"
"2","Super Mario Bros.","Nintendo",1985,"Platform","Nintendo",29.08,3.58,6.81,0.77,40.24,NA,NA
"3","Mario Kart Wii","Nintendo",2008,"Racing","Nintendo",15.68,12.76,3.79,3.29,35.52,"Nintendo","E"
"4","Wii Sports Resort","Nintendo",2009,"Sports","Nintendo",15.61,10.93,3.28,2.95,32.77,"Nintendo","E"
"5","Pokemon Red/Pokemon Blue","Nintendo",1996,"Role-Playing","Nintendo",11.27,8.89,10.22,1,31.37,NA,NA
"6","Tetris","Nintendo",1989,"Puzzle","Nintendo",23.2,2.26,4.22,0.58,30.26,NA,NA
"7","New Super Mario Bros.","Nintendo",2006,"Platform","Nintendo",11.28,9.14,6.5,2.88,29.8,"Nintendo","E"
"8","Wii Play","Nintendo",2006,"Misc","Nintendo",13.96,9.18,2.93,2.84,28.92,"Nintendo","E"
"9","New Super Mario Bros. Wii","Nintendo",2009,"Platform","Nintendo",14.44,6.94,4.7,2.24,28.32,"Nintendo","E"
"10","Duck Hunt","Nintendo",1984,"Shooter","Nintendo",26.93,0.63,0.28,0.47,28.31,NA,NA
"11","Nintendogs","Nintendo",2005,"Simulation","Nintendo",9.05,10.95,1.93,2.74,24.67,NA,NA
"12","Mario Kart DS","Nintendo",2005,"Racing","Nintendo",9.71,7.47,4.13,1.9,23.21,"Nintendo","E"
"13","Pokemon Gold/Pokemon Silver","Nintendo",1999,"Role-Playing","Nintendo",9,6.18,7.2,0.71,23.1,NA,NA
"14","Wii Fit","Nintendo",2007,"Sports","Nintendo",8.92,8.03,3.6,2.15,22.7,"Nintendo","E"
"15","Kinect Adventures!","Microsoft Xbox",2010,"Misc","Microsoft Game Studios",15,4.89,0.24,1.69,21.81,"Good Science Studio","E"
"16","Wii Fit Plus","Nintendo",2009,"Sports","Nintendo",9.01,8.49,2.53,1.77,21.79,"Nintendo","E"
"17","Grand Theft Auto V","Sony Playstation",2013,"Action","Take-Two Interactive",7.02,9.09,0.98,3.96,21.04,"Rockstar North","M"
"18","Grand Theft Auto: San Andreas","Sony Playstation",2004,"Action","Take-Two Interactive",9.43,0.4,0.41,10.57,20.81,"Rockstar North","M"
"19","Super Mario World","Nintendo",1990,"Platform","Nintendo",12.78,3.75,3.54,0.55,20.61,NA,NA
"20","Brain Age: Train Your Brain in Minutes a Day","Nintendo",2005,"Misc","Nintendo",4.74,9.2,4.16,2.04,20.15,"Nintendo","E"
"21","Pokemon Diamond/Pokemon Pearl","Nintendo",2006,"Role-Playing","Nintendo",6.38,4.46,6.04,1.36,18.25,NA,NA
"22","Super Mario Land","Nintendo",1989,"Platform","Nintendo",10.83,2.71,4.18,0.42,18.14,NA,NA
"23","Super Mario Bros. 3","Nintendo",1988,"Platform","Nintendo",9.54,3.44,3.84,0.46,17.28,NA,NA
"24","Grand Theft Auto V","Microsoft Xbox",2013,"Action","Take-Two Interactive",9.66,5.14,0.06,1.41,16.27,"Rockstar North","M"
"25","Grand Theft Auto: Vice City","Sony Playstation",2002,"Action","Take-Two Interactive",8.41,5.49,0.47,1.78,16.15,"Rockstar North","M"
"26","Pokemon Ruby/Pokemon Sapphire","Nintendo",2002,"Role-Playing","Nintendo",6.06,3.9,5.38,0.5,15.85,NA,NA
"27","Brain Age 2: More Training in Minutes a Day","Nintendo",2005,"Puzzle","Nintendo",3.43,5.35,5.32,1.18,15.29,"Nintendo","E"
"28","Pokemon Black/Pokemon White","Nintendo",2010,"Role-Playing","Nintendo",5.51,3.17,5.65,0.8,15.14,NA,NA
"29","Gran Turismo 3: A-Spec","Sony Playstation",2001,"Racing","Sony Computer Entertainment",6.85,5.09,1.87,1.16,14.98,"Polyphony Digital","E"
